task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
FoodPacking1BoxesTask,1,0,0.0,900.0,0.0,11.9
FoodPacking1CansTask,1,1,1.0,117.0,1.0,12.2
FoodPacking2BoxesTask,1,0,0.0,2700.0,0.0,11.9
FoodPacking2CansTask,1,0,0.0,2700.0,0.5,11.9
FoodPacking3BoxesTask,1,0,0.0,3600.0,0.0,11.9
FoodPacking3CansTask,1,0,0.0,3600.0,0.6666666865348816,11.9
FoodPackingByColorTask,1,0,0.0,1800.0,0.0,11.8
FruitsGreenLimesOnPlateTask,1,0,0.0,1350.0,0.5,11.9
FruitsMovingOrangeOrLimeTask,1,0,0.0,900.0,0.0,12.0
FruitsMovingTask,1,0,0.0,900.0,0.0,11.9
FruitsOnPlate3Task,1,1,1.0,1414.0,1.0,12.0
FruitsOnPlateTask,1,0,0.0,4500.0,0.4285714328289032,12.0
FruitsOnionTask,1,1,1.0,428.0,1.0,12.2
FruitsOnionToPlateTask,1,1,1.0,452.0,1.0,12.2
FruitsOrangesOnPlateTask,1,0,0.0,1350.0,1.0,11.9
GrabABagelTask,1,0,0.0,450.0,1.0,12.1
GrabAFruitTask,1,0,0.0,450.0,0.0,12.0
GreenSpoonsInPotTask,1,0,0.0,2700.0,0.6666666865348816,11.8
HammersInLeftBinTask,1,0,0.0,2700.0,0.0,11.9
JugsOnShelfTask,1,0,0.0,1800.0,0.0,11.8
KeyboardOutOfBinTask,1,0,0.0,900.0,0.0,11.9
LargerObjectRaisinBoxInBinTask,1,0,0.0,450.0,0.0,11.9
MarkerInMugTask,1,0,0.0,600.0,0.0,12.0
MouseOnKeyboardTask,1,0,0.0,900.0,0.0,11.9
MoveBananaToBagelPlateTask,1,0,0.0,1350.0,0.0,11.9
MustardAboveRaisinTask,1,1,1.0,136.0,0.0,12.5
MustardInLeftBinTask,1,0,0.0,450.0,0.0,12.0
MustardInRightBinTask,1,1,1.0,139.0,1.0,12.2
NonHammerToolsInRightBinTask,1,0,0.0,2700.0,0.0,12.0
OneBottleInSquarePailTask,1,1,1.0,514.0,1.0,12.0
OneBottleOnShelfTask,1,0,0.0,900.0,0.0,11.8
PhoneOrRemoteInBinTask,1,1,1.0,467.0,1.0,12.1
PickDrillTask,1,0,0.0,600.0,1.0,11.9
PickGlassesTask,1,1,1.0,240.0,1.0,12.1
PickOrangeObjectTask,1,0,0.0,900.0,0.5,12.0
PickUpBluePitcherTask,1,1,1.0,184.0,1.0,12.3
PickUpGreenObjectTask,1,0,0.0,450.0,0.5,11.9
PinkSpoonInPotTask,1,0,0.0,900.0,0.0,11.9
PlasticBottlesInSquarePailTask,1,1,1.0,2631.0,1.0,11.9
PutBowlOnShelfTopTask,1,0,0.0,900.0,0.0,11.9
PutMugsOnShelfTask,1,0,0.0,2700.0,0.0,11.9
PutTwoMugsOnShelfTask,1,0,0.0,2700.0,0.0,11.9
RecycleCartonTask,1,0,0.0,1350.0,0.5,12.0
RecycleCartonsOnBoxTask,1,0,0.0,1350.0,0.0,11.9
RecycleCartonsVerticalCrateTask,1,0,0.0,1350.0,0.5,12.0
RedDishesInBinTask,1,0,0.0,900.0,0.5,11.8
RedItemsInBinTask,1,0,0.0,900.0,0.5,11.9
ReorientAllMugsTask,1,0,0.0,1350.0,0.3333333432674408,11.9
ReorientJugTask,1,0,0.0,900.0,0.0,11.8
ReorientRedMugTask,1,1,1.0,586.0,1.0,12.1
ReorientWhiteMugsTask,1,0,0.0,900.0,1.0,11.9
RubiksCubeAndBananaTask,1,1,1.0,361.0,1.0,12.1
RubiksCubeBehindBowlTask,1,1,1.0,112.0,1.0,12.3
RubiksCubeInFrontOfBowlTask,1,0,0.0,450.0,0.3333333432674408,11.9
RubiksCubeLeftOfBowlTask,1,0,0.0,450.0,0.6666666865348816,11.9
RubiksCubeOrBananaTask,1,1,1.0,196.0,1.0,12.3
RubiksCubeRightOfBowlTask,1,0,0.0,450.0,0.6666666865348816,11.8
RubiksCubeTask,1,1,1.0,121.0,1.0,12.6
RubiksCubeThenBananaTask,1,1,1.0,386.0,1.0,11.9
RubiksCubesInBinTask,1,1,1.0,955.0,1.0,11.9
SauceBottlesCrateTask,1,1,1.0,564.0,1.0,12.0
SmallPumpkinInBinTask,1,0,0.0,900.0,0.0,12.0
SmallerObjectButterInBinTask,1,0,0.0,450.0,0.0,12.0
SmartphoneInBinTask,1,0,0.0,900.0,0.0,12.0
SpoonInMugTask,1,0,0.0,900.0,0.0,12.0
SpoonsInPotTask,1,0,0.0,2700.0,0.3333333432674408,12.1
Stack3RubiksCubeTask,1,0,0.0,900.0,0.5,11.9
StackWhiteMugsTask,1,0,0.0,900.0,0.5,11.8
StackYellowOnRedTask,1,1,1.0,392.0,1.0,12.2
